familyId,familyLabel,patternId,patternLabel,example,feelings,needs
no-reply,No reply / Ghosted,read-no-reply,"Read receipts, no reply (24–72h)",Two messages were read (check marks) with no reply for 48 hours.,Sad|Lonely|Hurt|Anxious,To be seen|Connection|Belonging|Consideration
no-reply,No reply / Ghosted,stopped-replying,Stopped replying for a week+,No response to three messages over two weeks.,Sad|Anxious|Hurt|Disappointment,Connection|Security|Consideration|To be seen
no-reply,No reply / Ghosted,emoji-only-no-reply,"Reaction only, no message by cutoff",Message received a 👍 reaction with no text reply by end of day.,Confused|Lonely|Frustrated|Anxious,Clarity|Inclusion|Reliability|To be seen
no-reply,No reply / Ghosted,thread-continuing-no-reply,"Thread continued, question not answered by next day","In the Slack thread, later messages appeared but my question received no reply by the next day.",Confused|Disappointment|Anxious|Hurt,Clarity|Consideration|Participation|To be heard
no-reply,No reply / Ghosted,call-not-returned,Missed call not returned within agreed window,I called at 3:10 pm and there was no call back within the agreed 2-hour window.,Anxious|Disappointment|Irritated,Reliability|Consideration|Clarity|Love/Caring
interruption,Interrupted while speaking,spoke-over,Spoke over me mid-sentence,"While I was speaking, they began speaking and my sentence stopped mid-word.",Angry|Hurt|Tense|Frustrated,Respect|To be heard|Consideration|Fairness
interruption,Interrupted while speaking,monopolized,One person monopolized the meeting,One person spoke for most of the meeting time.,Frustrated|Lonely|Tired|Tense,To be heard|Respect|Mutuality|Consideration
interruption,Interrupted while speaking,cross-talk,Cross-talk (multiple people at once),Three people spoke at once; I couldn’t get a word in.,Overwhelmed|Tense|Anxious|Irritated,Clarity|Order|To be heard|Inclusion
interruption,Interrupted while speaking,screen-share-takeover,Screen share took over while I was presenting,"While I was speaking, another screen share started and replaced my slides.",Alarmed|Irritated|Hurt|Tense,To be heard|Respect|Order|Consideration
interruption,Interrupted while speaking,multiple-overlaps,Multiple overlaps in two minutes,During my update there were three overlaps while I was mid-sentence within two minutes.,Tense|Frustrated|Irritated|Anxious,To be heard|Respect|Order|Calm
interruption,Interrupted while speaking,muted-while-speaking,Microphone muted while I was speaking,My microphone was muted while I was speaking.,Alarmed|Embarrassed|Tense|Angry,Respect|To be heard|Safety|Consideration
plan-control,Plan changed / Control without input,changed-without-asking,Plan changed without asking,"They changed the plan and said, “You’ll do it this way.”",Frustrated|Tense|Resentful|Anxious,Autonomy|Choice|Freedom|Mutuality
plan-control,Plan changed / Control without input,overruled,Decision made without my input,The decision was announced after I asked to contribute.,Disappointment|Resentful|Tense|Lonely,Autonomy|Empowerment|To be heard|Mutuality
plan-control,Plan changed / Control without input,moving-goalposts,Criteria changed after I delivered,"After I finished, new requirements were added.",Frustrated|Tired|Anxious|Resentful,Fairness|Clarity|Predictability|Respect
plan-control,Plan changed / Control without input,event-time-moved,Meeting time changed without checking,The 2:00 pm meeting was moved to 3:00 pm without a message to check in first.,Anxious|Irritated|Frustrated,Predictability|Consideration|Choice|Consistency
plan-control,Plan changed / Control without input,agenda-changed-midmeeting,Agenda items added or reordered mid-meeting,Two new agenda items were added during the meeting without checking with attendees.,Tense|Overwhelmed|Irritated|Anxious,Clarity|Order|Choice|Predictability
plan-control,Plan changed / Control without input,task-assigned-without-checking,Task assigned without checking capacity,A task was assigned to me during standup without asking about my current load.,Pressured|Tense|Irritated|Anxious,Consideration|Choice|Do things at my own pace and in my own way|Respect
tone-volume,Raised voice / Tone shift,raised-voice,Voice got louder or yelling,Their voice volume increased during our talk.,Alarmed|Scared|Tense|Angry,Safety|Calm|Respect|Love/Caring
tone-volume,Raised voice / Tone shift,door-slam,Door slam / loud exit,The door closed loudly during the conversation.,Alarmed|Frightened|Tense|Angry,Safety|Calm|Respect|Love/Caring
tone-volume,Raised voice / Tone shift,sarcasm,Mocking / sarcastic tone,They imitated my voice after my question.,Hurt|Angry|Tense|Embarrassed,Respect|Honor|Love/Caring|Consideration
tone-volume,Raised voice / Tone shift,rapid-speech,Speech became much faster,Their speaking rate increased noticeably during the discussion.,Tense|Alarmed|Anxious|Overwhelmed,Calm|Clarity|Peace|Safety
tone-volume,Raised voice / Tone shift,audible-sighs,Audible sighs during my turn,While I was speaking there were several audible sighs.,Hurt|Anxious|Irritated|Embarrassed,Respect|To be heard|Consideration|Support
tone-volume,Raised voice / Tone shift,profanity-used,Profanity used in response,In the meeting they used profanity immediately after my comment.,Alarmed|Hurt|Tense|Angry,Respect|Safety|Calm|Love/Caring
timeliness,Late / Canceled,late-20,Arrived 15–30 minutes late,We agreed on 2:00; they arrived at 2:20 without a message.,Disappointment|Irritated|Anxious|Hurt,Reliability|Consideration|Respect|Predictability
timeliness,Late / Canceled,cancel-short,Canceled at short notice,They canceled 30 minutes before our meeting.,Disappointment|Pressured|Frustrated|Sad,Reliability|Support|Consideration|Security
timeliness,Late / Canceled,left-early,Left before the end by minutes,They left the meeting 15 minutes before the scheduled end without a note.,Anxious|Irritated|Tense|Disappointment,Reliability|Consideration|Consistency|Predictability
timeliness,Late / Canceled,late-cancel-short-notice,Canceled within 60 minutes of start,The 10:00 am meeting was canceled at 9:20 am.,Frustrated|Tense|Disappointment|Anxious,Predictability|Consideration|Clarity|Respect
attention,Divided attention while I spoke,phone-during-talk,Looked at phone / kept typing,They looked at their phone while I was talking.,Hurt|Lonely|Anxious|Tense,To be seen|Consideration|Connection|Respect
attention,Divided attention while I spoke,no-eye-contact,No eye contact / distracted,They kept typing without looking up.,Hurt|Tense|Lonely|Irritated,To be seen|Respect|Consideration|Connection
attention,Divided attention while I spoke,typing-while-i-spoke,Typing while I was speaking,While I was speaking they typed on their keyboard continuously.,Confused|Hurt|Irritated|Tense,To be heard|Respect|To be seen|Consideration
attention,Divided attention while I spoke,camera-off-when-called,Camera off when called on,"When their name was called to respond, the camera remained off.",Confused|Lonely|Anxious,Connection|Clarity|Participation|To be seen
