bucket,category_key,category_label,trigger,pattern,why,advice
evaluation,evaluation-words,Evaluation words,always,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,never,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,must,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,right,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,wrong,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,good,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,bad,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,better,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,worse,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,best,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,worst,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,ridiculous,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,pathetic,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,horrible,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,awful,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,terrible,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,useless,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,pointless,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,unprofessional,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,shameful,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-words,Evaluation words,disgusting,,Signals a value judgment instead of an observable detail.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-phrases,Evaluation phrases,waste of time,\\bwaste\\s+of\\s+time\\b,Frames the situation as a value judgment rather than describing what was seen or heard.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-phrases,Evaluation phrases,kind of person,\\bkind\\s+of\\s+person\\b,Frames the situation as a value judgment rather than describing what was seen or heard.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
evaluation,evaluation-phrases,Evaluation phrases,take advantage,\\btake\\s+advantage\\b,Frames the situation as a value judgment rather than describing what was seen or heard.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
agentive,agentive-blame,Agentive blame language,you made me,\\byou\\s+made\\s+me\\b,Suggests someone else is responsible for your feelings or actions instead of naming what happened.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
agentive,agentive-blame,Agentive blame language,they made me,\\bthey\\s+made\\s+me\\b,Suggests someone else is responsible for your feelings or actions instead of naming what happened.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
agentive,agentive-blame,Agentive blame language,because of you,\\bbecause\\s+of\\s+you\\b,Suggests someone else is responsible for your feelings or actions instead of naming what happened.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
flag_group,traitLabels,Trait / character labels,rude,,Labels a person or their character instead of naming observable actions.,"Try swapping in a time/place anchor, a quote, a count or measure, or a link to an artifact."
