Feeling Slug,Need Slug,States
calm,do-things-at-my-own-pace-and-in-my-own-way,met
relaxed,do-things-at-my-own-pace-and-in-my-own-way,met
contented,do-things-at-my-own-pace-and-in-my-own-way,met
peaceful,do-things-at-my-own-pace-and-in-my-own-way,met
relieved,honesty,met
peaceful,honesty,met
hopeful,honesty,met
contented,honesty,met
joyful,genuineness,met
energized,genuineness,met
playful,genuineness,met
inspired,genuineness,met
joyful,authenticity,met
energized,authenticity,met
proud,authenticity,met
contented,authenticity,met
