cue,patterns (|),feelings (|),needs (|),example
seen-no-reply-variant,read receipt shown and no reply|seen .* and no response|check marks but no message back|message marked as read without response,lonely|sad|hurt|anxious,To be seen|connection|belonging|consideration,Message showed as 'seen' yesterday; no reply since then.
reply-late,reply .* hours later|response after .* days|took .* days to reply|slow response time,anxious|uncertain|hurt|confused,To be seen|connection|belonging|consideration,They replied two days after I asked a time‑sensitive question.
one-word-reply,one word reply|'k' reply|ok only|short reply only|minimal response,dismissed|hurt|lonely|frustrated,respect|To be heard|consideration|honor,"After my long update, the only reply was 'k'."
topic-changed,changed the subject|switched topics|went off-topic after I asked|redirected without answering,confused|uncertain|anxious|unsettled,understanding|clarity|respect|To be heard,I asked about budget; the reply shifted to weekend plans.
message-forwarded,forwarded my email without asking|cc'd others without consent|added people to thread without checking,exposed|vulnerable|anxious|uneasy,privacy|respect|consideration|trust,My private email was forwarded to two managers without asking me.
voice-note-instead,sent voice note when I asked for text|audio message instead of written|voice message during quiet hours,anxious|overwhelmed|irritated|tired,support|Do things at my own pace and in my own way|consideration|rest,At midnight they sent a 5‑minute voice message instead of a short text.
punctuation-intensity,"multiple exclamation marks|all caps words|!!!!!|ALL CAPS|!{3,}",alarmed|tense|anxious|hurt,calm|respect|clarity|consideration,Email arrived with ALL CAPS and five exclamation points.
sarcasm-emoji,eye-roll emoji after my message|used 🙄 after I shared|mocking gif reply,embarrassed|hurt|anxious|lonely,respect|To be heard|consideration|honor,I shared a concern; the only response was 🙄.
no-time-check,no time check-in|didn't check time left|kept going without checking time,tired|pressured|overwhelmed|anxious,support|Do things at my own pace and in my own way|consideration|rest,We went 25 minutes over without anyone checking capacity.
credit-noted-elsewhere,credit given to someone else|attribution to another person|named another person for my work,hurt|sad|irritated|resentful,acknowledgement|recognition|respect|honor,"In the summary, another person was credited for the analysis I wrote."
agenda-switched,agenda changed mid‑meeting|agenda swapped without notice|different agenda from invite,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The meeting followed a new agenda not shared in the invite.
decision-pre-announced,decision already made|pre‑decided outcome|token consultation,powerless|hurt|anxious|frustrated,participation|mutuality|respect|To be heard,We were asked for input after the decision had been finalized.
questions-not-logged,questions not captured in notes|Q&A not recorded|chat questions missing from minutes,dismissed|hurt|lonely|frustrated,acknowledgement|clarity|respect|To be heard,My two questions were not included in the shared minutes.
camera-required-without-reason,camera required without reason|video on mandate no rationale|forced camera on,uneasy|pressured|anxious|exposed,privacy|autonomy|respect|safety,We were told to keep cameras on all day without an explanation.
multitask-visible,typing while I present|answering emails while I speak|attention on another screen,dismissed|hurt|lonely|frustrated,respect|To be heard|consideration|honor,"During my update, two people were visibly typing on another screen."
policy-ambiguous,policy unclear|no clear policy|policy language vague,confused|uncertain|anxious|unsettled,fairness|clarity|respect|predictability,The handbook says 'as needed' without defining who decides.
role-scope-creep,role expanded without discussion|scope creep on my role|extra duties added informally,overwhelmed|pressured|tired|anxious,clarity|mutuality|support|fairness,Additional duties were assigned to me outside the written role.
pto-denied-no-reason,time off denied without reason|vacation declined no explanation|leave request refused without rationale,discouraged|anxious|frustrated|unsettled,clarity|respect|rest|consideration,My PTO request was declined with no explanation.
overtime-expected,expected to work overtime|assumed extra hours|after‑hours norm without pay,pressured|tired|overwhelmed|resentful,support|Do things at my own pace and in my own way|consideration|rest,We were told to 'do what's needed' and stay late all week.
