need,slots,suffix,example,patterns,patternsJson,entryExtraJson,cueExtraJson
Love/Caring,time|context|social|actions,comfort-turned-away,At (time detail) I reached to hug (other person) and they stepped back toward the doorway.,"\b(?:reached|leaned|offered)\b[^\n]{0,80}\b(?:hug|hand|embrace|touch|hold)\b[^\n]{0,80}\b(?:pulled\s+away|stepp(?:ed|ing)\s+back|turned\s+away|kept\s+(?:arms|hands)\s+(?:at\s+their\s+sides|still))\b","[""\\b(?:reached|leaned|offered)\\b[^\\n]{0,80}\\b(?:hug|hand|embrace|touch|hold)\\b[^\\n]{0,80}\\b(?:pulled\\s+away|stepp(?:ed|ing)\\s+back|turned\\s+away|kept\\s+(?:arms|hands)\\s+(?:at\\s+their\\s+sides|still))\\b""]",,
Love/Caring,time|context|social|actions,no-check-in,During (context detail) nobody checked how (person detail) was holding up.,"\b(?:no\s+one|nobody)\b[^\n]{0,80}\b(?:checked|asked|looked\s+in)\b[^\n]{0,80}\b(?:how|if)\b[^\n]{0,80}\b(?:doing|feeling|holding\s+up)","[""\\b(?:no\\s+one|nobody)\\b[^\\n]{0,80}\\b(?:checked|asked|looked\\s+in)\\b[^\\n]{0,80}\\b(?:how|if)\\b[^\\n]{0,80}\\b(?:doing|feeling|holding\\s+up)""]",,
Love/Caring,time|context|social|actions,ignored-distress,"While (other person) wiped their eyes, the group kept typing on (device detail).","\b(?:crying|sobbing|shaking|tearing\s+up|wiping\s+their\s+eyes)\b[^\n]{0,80}\b(?:kept|continued|stayed)\b[^\n]{0,80}\b(?:typing|talking|scrolling|working|reviewing)","[""\\b(?:crying|sobbing|shaking|tearing\\s+up|wiping\\s+their\\s+eyes)\\b[^\\n]{0,80}\\b(?:kept|continued|stayed)\\b[^\\n]{0,80}\\b(?:typing|talking|scrolling|working|reviewing)""]",,
Community/Belonging,time|context|social,meeting-without,They started a meeting in (context detail) without adding me to the invite.,"\b(?:meeting|call|gathering|hangout)\b[^\n]{0,80}\b(?:started|held|scheduled|happened)\b[^\n]{0,80}\b(?:without|w\/o|minus|excluding)\b[^\n]{0,80}\b(?:me|us|them)","[""\\b(?:meeting|call|gathering|hangout)\\b[^\\n]{0,80}\\b(?:started|held|scheduled|happened)\\b[^\\n]{0,80}\\b(?:without|w\\/o|minus|excluding)\\b[^\\n]{0,80}\\b(?:me|us|them)""]",,
Community/Belonging,time|context|social,door-closed-outside,The door closed while I was still in the hallway.,"\bdoor\b[^\n]{0,80}\b(?:closed|shut|locked)\b[^\n]{0,80}\b(?:while|with)\b[^\n]{0,80}\b(?:still\s+outside|in\s+the\s+hall|on\s+the\s+stairs)","[""\\bdoor\\b[^\\n]{0,80}\\b(?:closed|shut|locked)\\b[^\\n]{0,80}\\b(?:while|with)\\b[^\\n]{0,80}\\b(?:still\\s+outside|in\\s+the\\s+hall|on\\s+the\\s+stairs)""]",,
Community/Belonging,time|context|social,thread-without,A group chat about (project detail) went on without my name anywhere.,"\b(?:group\s+chat|thread|channel)\b[^\n]{0,80}\b(?:without|minus|excluding)\b[^\n]{0,80}\b(?:me|them|inviting)","[""\\b(?:group\\s+chat|thread|channel)\\b[^\\n]{0,80}\\b(?:without|minus|excluding)\\b[^\\n]{0,80}\\b(?:me|them|inviting)""]",,
Community/Belonging,time|context|social,plan-change-message,"We agreed to have dinner at home at 7 p.m., but at 7:20 p.m. they still weren't home and had texted at 6:55 that they were staying late at work.","\bagreed\s+to\b[^\n]{0,80}\bat\s+\d|\b(?:text(?:ed)?|messag(?:ed|e)|sent)\b[^\n]{0,80}\bat\s+\d[^\n]{0,80}\b(?:stay(?:ing)?\s+late\s+at\s+work)|\b(?:not\s+home|wasn'?t\s+home|weren't\s+home)\b[^\n]{0,40}\b(?:yet|by\s+\d)","[""\\bagreed\\s+to\\b[^\\n]{0,80}\\bat\\s+\\d"",""\\b(?:text(?:ed)?|messag(?:ed|e)|sent)\\b[^\\n]{0,80}\\bat\\s+\\d[^\\n]{0,80}\\b(?:stay(?:ing)?\\s+late\\s+at\\s+work)"",""\\b(?:not\\s+home|wasn'?t\\s+home|weren't\\s+home)\\b[^\\n]{0,40}\\b(?:yet|by\\s+\\d)""]",,
Sustenance/Health,time|context|actions,no-breaks,After three (task detail) in a row there still was no time for a break.,"\b(?:back-?to-?back|no\s+breaks?|without\s+breaks?)\b[^\n]{0,80}\b(?:shift|shifts|meetings?|appointments?|lessons?|cases?)","[""\\b(?:back-?to-?back|no\\s+breaks?|without\\s+breaks?)\\b[^\\n]{0,80}\\b(?:shift|shifts|meetings?|appointments?|lessons?|cases?)""]",,
Sustenance/Health,time|context|actions,skipped-meal,We skipped (meal detail) to finish (task detail).,"\b(?:skipp(?:ed|ing)|miss(?:ed|ing)|delayed)\b[^\n]{0,80}\b(?:meal|lunch|dinner|breakfast|snack)\b","[""\\b(?:skipp(?:ed|ing)|miss(?:ed|ing)|delayed)\\b[^\\n]{0,80}\\b(?:meal|lunch|dinner|breakfast|snack)\\b""]",,
Sustenance/Health,time|context|actions,no-cover,I asked for cover so I could rest and nobody was available.,"\b(?:asked|request(?:ed)?)\b[^\n]{0,80}\b(?:cover|relief|backup|break)\b[^\n]{0,80}\b(?:no\s+one|nobody|none)\b[^\n]{0,80}\b(?:available|free|responded|could)","[""\\b(?:asked|request(?:ed)?)\\b[^\\n]{0,80}\\b(?:cover|relief|backup|break)\\b[^\\n]{0,80}\\b(?:no\\s+one|nobody|none)\\b[^\\n]{0,80}\\b(?:available|free|responded|could)""]",,
