Faux Feeling Title,Related Feelings,Related Needs,Slug Override
Abandoned,"Terrified,Hurt,Bewildered,Sad,Frightened,Lonely","Nurturing,Connection,Belonging,Support,Love/Caring",
Abused,"Angry,Frustrated,Frightened","Love/Caring,Nurturing,Support,Consideration,Need for all living things to flourish",
Attacked,"Scared,Angry",Safety,
(Not) Accepted,"Upset,Scared,Lonely","Inclusion,Connection,Community,Belonging,Contribution,Peer Respect",
Belittled,"Angry,Frustrated,Tense,Distressed","Respect,Autonomy,To be seen,Acknowledgement,Appreciation",
Betrayed,"Angry,Hurt,Disappointment,Enraged","Trust,Dependability,Honesty,Honor,Commitment,Clarity",
Blamed,"Angry,Scared,Confused,Antagonistic,Hostile,Bewildered,Hurt","Accountability,Causality,Fairness,Justice",
Bullied,"Angry,Scared,Overwhelmed","Autonomy,Choice,Safety,Consideration",
Caged/Boxed-in,"Angry,Thwarted,Scared,Anxious","Autonomy,Choice,Freedom",
Cheated,"Resentful,Hurt,Angry","Honesty,Fairness,Justice,Trust,Reliability",
Coerced,"Angry,Frustrated,Frightened,Thwarted,Scared","Choice,Autonomy,Freedom,Act Freely,Choose Freely",
Cornered,"Angry,Scared,Anxious,Thwarted","Autonomy,Freedom",
Criticized,"In pain,Scared,Anxious,Frustrated,Angry,Embarrassed","Understanding,Acknowledgement,Recognition,Accountability,Non-judgmental Communication",
Discounted/Diminished,"Hurt,Angry,Embarrassed,Frustrated","Need to matter,Acknowledgement,Inclusion,Recognition,Respect",
Disliked,"Sad,Lonely,Hurt","Connection,Appreciation,Understanding,Acknowledgement,Friendship,Inclusion",
Distrusted,"Sad,Frustrated","Trust,Honesty",
Dumped on,"Angry,Overwhelmed","Respect,Consideration",
Harassed,"Angry,Frustrated,Overwhelmed,Frightened","Respect,Space,Consideration,Peace",
Hassled,"Irritated,Distressed,Angry,Frightened","Serenity,Autonomy,Do things at my own pace and in my own way,Calm,Space",
Humiliated,"Embarrassed,Hurt,Sad,Angry","Acknowledgement,Accountability,Understanding,Recognition,Non-judgmental Communication",
Ignored,"Lonely,Scared,Hurt,Sad,Embarrassed","Connection,Belonging,Inclusion,Community,Participation",
Insulted,"Angry,Embarrassed","Respect,Consideration,Acknowledgement,Recognition",
Interrupted,"Angry,Frustrated,Resentful,Hurt","Respect,To be heard,Consideration",
Intimidated,"Scared,Anxiety","Safety,Equality,Empowerment",
Invalidated,"Angry,Hurt,Resentful","Appreciation,Respect,Acknowledgement,Recognition",
Invisible,"Sad,Angry,Lonely,Scared","To be seen,To be heard,Inclusion,Belonging,Community,Growth",
Isolated,"Lonely,Afraid,Scared","Community,Inclusion,Belonging,Contribution",
Left out,"Sad,Lonely,Anxious,Jealous","Inclusion,Belonging,Community,Connection",
Let down,"Sad,Disappointment,Frightened","Consistency,Trust,Dependability",
Manipulated,"Angry,Scared,Powerless,Thwarted,Frustrated","Autonomy,Empowerment,Trust,Equality,Freedom,Choose Freely,Connection,Genuineness",
Mistrusted,"Sad,Angry",Trust,
Misunderstood,"Upset,Angry,Frustrated","To be heard,Understanding,Clarity",
Neglected,"Lonely,Scared","Connection,Inclusion,Participation,Community,Love/Caring,Mattering,Consideration",
Overpowered,"Angry,Impotent,Helpless,Confused","Equality,Justice,Autonomy,Freedom",
Overworked,"Angry,Tired,Frustrated","Respect,Consideration,Rest,Love/Caring",
Patronized,"Angry,Frustrated,Resentful","Recognition,Equality,Respect,Mutuality",
Pressured,"Anxious,Resentful,Overwhelmed","Relaxation,Clarity,Space,Consideration",
Provoked,"Angry,Frustrated,Hostile,Antagonistic,Resentful","Respect,Consideration",
Put down,"Angry,Sad,Embarrassed","Respect,Acknowledgement,Understanding,Growth",
Rejected,"Hurt,Scared,Angry,Defiant","Belonging,Inclusion,Closeness,To be seen,Acknowledgement,Connection,Acceptance",
Ripped off / Screwed,"Angry,Resentful,Disappointment","Consideration,Justice,Fairness,Acknowledgement,Trust",
Smothered/Suffocated,"Frustrated,Fear,Desperation","Space,Freedom,Autonomy,Authenticity,Self expression",
Taken for granted,"Sad,Angry,Hurt,Disappointment","Appreciation,Acknowledgement,Recognition,Consideration",
Threatened,"Scared,Frightened,Alarmed,Agitated,Defiant","Safety,Autonomy",
Trampled,"Angry,Frustrated,Overwhelmed","Empowerment,Connection,Community,To be seen,Consideration,Equality,Respect,Acknowledgement",
Tricked,"Embarrassed,Angry,Resentful","Integrity,Trust,Honesty,Security",
Unappreciated,"Sad,Angry,Hurt,Frustrated","Appreciation,Respect,Acknowledgement,Consideration",
Unheard,"Sad,Hostile,Frustrated","Understanding,Consideration,Empathy",
Unloved,"Sad,Bewildered,Frustrated","Love/Caring,Appreciation,Empathy,Connection",
Unseen,"Sad,Anxious,Frustrated","Acknowledgement,Appreciation,To be heard",
Unsupported,"Sad,Hurt,Resentful","Support,Understanding",
Unwanted,"Sad,Anxious,Frustrated","Belonging,Inclusion,Love/Caring",
Used,"Sad,Angry,Resentful","Autonomy,Equality,Consideration,Mutuality",
Victimized,"Frightened,Helpless","Empowerment,Mutuality,Safety,Justice",
Violated,"Sad,Angry,Agitated,Anxiety","Privacy,Safety,Trust,Space,Respect,Security",
Wronged,"Angry,Hurt,Resentful,Irritated","Respect,Justice,Trust,Safety,Fairness",
