"label","original_url","corrected_url","source_status","comments"
"evolutionary psychology study noting that social acceptance cues indicate safety and resource sharing","https://doi.org/10.1037/0033-295X.114.1.88","https://doi.org/10.1037/0033-295X.114.1.88","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review detailing how social exclusion and loneliness negatively impact mental and physical health","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5892725/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5892725/","valid-peer-reviewed","Source is peer-reviewed (open-access journal article) and matches label; meets criteria"
"Self-determination theory research: competence satisfaction linked to well-being and accomplishment","https://doi.org/10.1037/pspp0000054","https://doi.org/10.1037/pspp0000054","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"review on intrinsic reward of mastery and skill-building (competence) in motivation","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00777/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00777/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"theory of social safety emphasizing reliable support networks (reduces stress response)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143224/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143224/","valid-peer-reviewed","Source is peer-reviewed (NIH journal article) and matches label; meets criteria"
"discussion of accountability and trust in healthcare teams improving performance","https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-020-05288-3","https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-020-05288-3","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"HBR article on the impact of recognition on morale and cooperation","https://hbr.org/2016/05/why-recognizing-your-employees-isnt-enough","https://doi.org/10.1287/mnsc.2015.2292","invalid-replaced","Original source HBR (non-academic) replaced with peer-reviewed field study (Bradler et al., 2016) showing employee recognition boosts morale and performance"
"research showing that acknowledgment and feedback improve motivation and engagement","https://onlinelibrary.wiley.com/doi/abs/10.1002/job.2119","https://onlinelibrary.wiley.com/doi/abs/10.1002/job.2119","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"Harvard Business Review – Teresa Amabile – emphasizing that autonomy and freedom in how work is done fosters creativity and innovation","https://hbr.org/1998/09/how-to-kill-creativity","https://doi.org/10.1037/0021-9010.83.2.261","invalid-replaced","Original source HBR (non-academic) replaced with peer-reviewed study (Zhou, 1998) demonstrating that giving employees autonomy/support increases their creative performance"
"research linking flexible, autonomous work environments with higher job satisfaction and creativity","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6811263/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6811263/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"summary of cross-cultural research on gratitude’s effects on relationships and prosocial behavior","https://greatergood.berkeley.edu/article/item/why_gratitude_is_good","https://www.frontiersin.org/articles/10.3389/fpsyg.2015.01496/full","invalid-replaced","Original source (magazine summary) replaced with peer-reviewed cross-cultural study (Chen et al., 2015, Frontiers in Psychology) showing gratitude practices strengthen relationships and prosocial behavior"
"cross-cultural research showing gratitude practices strengthen trust and social connection","https://www.frontiersin.org/articles/10.3389/fpsyg.2015.01496/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2015.01496/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"analysis of how expressing thanks (gratitude) increases relationship satisfaction and prosocial behavior","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3010965/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3010965/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
