feeling,zones,regionId,regionLabel,optionId,title,note,intensityMin,intensityMax,arousal,relativeWeight,evidenceKey
anxiety,high-unpleasant,chest,Chest or heart space,chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",5,10,high,0.1,chest-tight
anxiety,high-unpleasant,chest,Chest or heart space,chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats",5,10,high,0.1,chest-pounding
anxiety,high-unpleasant,limbs,"Arms, hands, or legs",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake",5,10,high,0.1,limbs-restless
anxiety,high-unpleasant,gut,Stomach or gut,gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",6,10,high,0.1,gut-rolling
anxiety,high-unpleasant,head,Head and mind space,head-buzzing,Buzzing or static,"Quick thoughts, humming energy",6,10,high,0.1,head-buzzing
anxiety,high-unpleasant,shoulders,Shoulders and upper back,shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like",6,10,high,0.1,shoulders-braced
anxiety,high-unpleasant,temperature,Temperature shifts,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers",6,10,high,0.1,temp-chill
anxiety,high-unpleasant,temperature,Temperature shifts,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat",6,10,high,0.1,temp-prickly
anxiety,high-unpleasant,gut,Stomach or gut,gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit",6,10,high,0.1,gut-nausea
anxiety,high-unpleasant,throat,Throat and voice,throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",6,10,high,0.1,throat-dry
anxiety,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue",6,10,high,0.1,jaw-clench
anxiety,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering",6,10,high,0.1,jaw-tremble
anxiety,high-unpleasant,overall,Whole-body sense,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",6,10,high,0.1,overall-floating
anxiety,high-unpleasant,throat,Throat and voice,throat-tight,Tight or gripped,"Squeezing band, hard to swallow",7,10,high,0.1,throat-tight
fear,high-unpleasant,temperature,Temperature shifts,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers",5,10,high,0.13,temp-chill
fear,high-unpleasant,chest,Chest or heart space,chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",6,10,high,0.12,chest-tight
fear,high-unpleasant,chest,Chest or heart space,chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats",6,10,high,0.12,chest-pounding
fear,high-unpleasant,gut,Stomach or gut,gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit",6,10,high,0.12,gut-nausea
fear,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering",6,10,high,0.12,jaw-tremble
fear,high-unpleasant,throat,Throat and voice,throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",6,10,high,0.11,throat-dry
fear,high-unpleasant,temperature,Temperature shifts,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat",6,10,high,0.11,temp-prickly
fear,high-unpleasant,shoulders,Shoulders and upper back,shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like",6,10,high,0.1,shoulders-braced
fear,high-unpleasant,limbs,"Arms, hands, or legs",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",6,10,high,0.1,limbs-tingly
anger,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue",5,10,high,0.18,jaw-clench
anger,high-unpleasant,temperature,Temperature shifts,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward",5,10,high,0.17,temp-flush
anger,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw",6,10,high,0.15,jaw-heat
anger,high-unpleasant,chest,Chest or heart space,chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats",6,10,high,0.14,chest-pounding
anger,high-unpleasant,chest,Chest or heart space,chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",6,10,high,0.13,chest-tight
anger,high-unpleasant,shoulders,Shoulders and upper back,shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like",7,10,high,0.11,shoulders-braced
anger,high-unpleasant,limbs,"Arms, hands, or legs",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake",7,10,high,0.11,limbs-restless
overwhelm,high-unpleasant,head,Head and mind space,head-pressure,Pressure or band,"Helmet feeling, squeezing temples",5,10,high,0.11,head-pressure
overwhelm,high-unpleasant,chest,Chest or heart space,chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",6,10,high,0.1,chest-tight
overwhelm,high-unpleasant,overall,Whole-body sense,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",6,10,high,0.1,overall-floating
overwhelm,high-unpleasant,jaw,"Jaw, mouth, or fists",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering",6,10,high,0.1,jaw-tremble
