Title,Description,Needs
Call a friend," Trust us, they want to hear from you <3","Love/Caring,Connection,Consideration,Belonging,Support,Friendship,Peer Respect,Respect,Closeness,Mutuality,Participation,Non-judgmental Communication"
Snuggle a pet,Don't have one? Go get one and make a day of it!,"Love/Caring,Safety,Nurturing"
Cuddle your favorite stuffed animal,Why do we rob ourselves of this freedom as adult? Reclaim the beauty of your inner child.,"Love/Caring,Closeness"
Self holding,Place your hands on the opposite sides of your face and breathe deeply,"Love/Caring,Safety"
Play an instrument,Bang a piano or strum a guitar until you've expressed all you can with it. Any instrument will do. Let the universe hear you.,"Self expression,To be heard,Understanding,Acceptance ,Growth"
Smell something,"Take in a deep breath of a smell you like. At the grocery store approaching a panic attack a once stopped to smell an orange for a few seconds. It wasn't magic, but it helped.",Rest
Call a parent,"If you have a parent you trust, consider calling them. It's awkward at first but I like to ask ""will you still love me if x..."" and then I share the anxiety inducing thought I'm struggling with. Even though you both know what their answer is, let them say it. Let yourself hear it. I promise they will love saying it, give them a chance to. ","Nurturing,Support,Closeness,Non-judgmental Communication"
Tend to a plant,Water a plant. Research how to care for your specific plant. Don't have a plant? Do you want one? Consider making an event of getting one.,"Need for all living things to flourish,Nurturing"
Share your strategies!,"No one likes unsolicited advise (unfortunately), but you can share your strategies here for others to find when they are looking for them ;)
It would make our lives so much more wonderful if you did!","Need for all living things to flourish,Contribution"
Try Meetup,Meetup is a website that tries to connect you to people with similar interests. Worth a shot?,"Inclusion,Community,Participation"
Crunch the numbers,"This isn't for everyone I know, but I like to review my budget. I made a google sheet of my expenses vs my income. Having a clear plan really does calm my nerves.","Safety,Clarity,Accomplishment,Commitment,Security "
Stare off,Sit or lay down and just notice everything your body is feeling. I like to start with my toes and work my way up to my forehead while I'm just staring off. Reminding myself where I am in the world.,"Safety,Peace,Rest"
Listen,"Listen to someone speak and before you answer, try to get in touch with their underlying need first. Often I find when the help I offer doesn't *actually help* my need for contribution is frustrated. Try to avoid offering help until it's be explicitly requested. Instead, listen for their underlying need and try to connect to that.",Contribution
