regionId,regionLabel,prompt,optionId,optionTitle,optionNote,optionInsight,emotions
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,anxiety:1.4|fear:1.1|anger:0.9|overwhelm:1.1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",sadness:1.1|grief:1.2|stress:1|guilt:0.9
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",anxiety:1.2|fear:1.1|excited:1|anger:1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open chest can accompany calm, relief, or joyful connection.",calm:1.2|relief:1.1|joyful:0.8|gratitude:0.9|love-caring:1.1
gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-rolling,Rolling or fluttering,"Butterflies, swirls, churning movement",Rolling sensations can blend anxious worry with hopeful excitement about what is next.,anxiety:1.1|excited:1
gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit","Nausea can show up when something feels unsafe, overwhelming, or not right.",anxiety:1|fear:1.1|stress:0.9|overwhelm:0.9|disgust:1.2
gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-emptiness,Hollow or empty,"Sinking, dropping, missing center","Emptiness in the gut can flag sadness, loneliness, or grief.",sadness:1.2|grief:1.2|lonely:1|numb:0.8
gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-warm,Settled or warm,"Grounded fullness, gentle ease",Warmth in the belly can match calm confidence or gentle hope.,hopeful:1|contented:1|calm:1|gratitude:0.9
throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",sadness:1|grief:1|shame:0.9|anxiety:0.8
throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-lump,Lump or swelling,"Tears hovering, voice shaking, lump rising","A lump in the throat can pair with grief, loneliness, or tenderness seeking expression.",grief:1.2|lonely:1|sadness:1.1|overwhelm:0.8
throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",Dryness can indicate fear or anticipation about speaking up.,fear:1|anxiety:1|excited:0.8|shame:0.7
