Row Type,Feeling Title,Page Summary,Slug Override,Related Faux Feelings,Related Needs,Need Satisfaction,Body Signal Notes,Poem Quotation,Poem URL,Cue Region ID,Cue Region Label,Cue Region Prompt,Cue Option ID,Cue Option Title,Cue Option Note,Cue Option Insight,Cue Feeling Key,Cue Weight
feeling,Hurt,"You may feel sharp, throbbing, or dull sensations signaling that a part of you needs care. Pain can focus attention where healing or rest is required. The capacity to feel physical pain is widely viewed as a universal adaptation protecting organisms from further harm.",hurt,"Abandoned,Betrayed,Blamed,Cheated,Discounted/Diminished,Disliked,Ignored,Interrupted,Invalidated,Rejected,Taken for granted,Unappreciated,Unsupported,Wronged","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Inclusion,Community,Safety,Respect,To be seen,Acknowledgement,Appreciation,Trust,Dependability,Honesty,Honor,Commitment,Clarity,Accountability,Causality,Fairness,Justice,Reliability,Understanding,Recognition,Need to matter,Friendship,Participation,To be heard,Closeness",unmet,Dull ache across the chest or heart area; Throat tightening like tears might rise; Shoulders curling inward to guard the torso,,,,,,,,,,,
feeling,Terrified,"You might freeze completely, feel your heart pounding, or lose awareness of your surroundings. This feeling may arise when fear overwhelms capacity to act. Evolutionarily, the freeze response can reduce detection by predators and conserve energy.",terrified,Abandoned,"Love/Caring,Nurturing,Connection,Belonging,Support",unmet,"Body stiffening or frozen in place; Cold, trembling hands or legs ready to bolt; Wide eyes with breath caught high in the chest",,,,,,,,,,,
feeling,Bewildered,"Your eyes may widen, your forehead wrinkle, and your mind pause as it struggles to make sense of conflicting signals. This feeling can arise when the world suddenly seems unfamiliar. Cognitive scientists suggest confusion encourages humans to slow down and seek new understanding.",bewildered,"Abandoned,Blamed,Unloved","Love/Caring,Nurturing,Connection,Belonging,Support,Appreciation,Accountability,Causality,Fairness,Justice,Empathy",unmet,Brows knit with a light squeeze around the eyes; Head tilting or turning as if searching for focus; Light flutter in the stomach or chest while processing,,,,,,,,,,,
feeling,Sad,"You might feel tears welling, shoulders drooping, and energy drawing inward. Sadness appears when something meaningful feels lost. Many scientists suggest it may have evolved to slow us down and invite reflection or social comfort.",sad,"Abandoned,Disliked,Distrusted,Ignored,Invisible,Left out,Let down,Mistrusted,Put down,Taken for granted,Unappreciated,Unheard,Unloved,Unseen,Unsupported,Unwanted,Used,Violated","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Inclusion,Community,Safety,Respect,Autonomy,To be seen,Acknowledgement,Appreciation,Trust,Dependability,Honesty,Understanding,Recognition,Friendship,Space,Participation,To be heard,Equality,Consistency,Mutuality,Empathy,Privacy,Accomplishment,Physical Fitness",unmet,"Heavy sensation in the chest or throat; Slow, weighted movements and sighs; Moist eyes or a lump just behind the eyes",,,,,,,,,,,
feeling,Frightened,"You may feel frozen, breathless, or small in your body. This state may arise when a danger feels overwhelming. The freeze response is an ancient mammalian defense meant to increase survival when escape seems impossible.",frightened,"Abandoned,Abused,Coerced,Harassed,Hassled,Let down,Threatened,Victimized","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Need for all living things to flourish,Safety,Respect,Autonomy,Trust,Dependability,Justice,Choice,Freedom,Act Freely,Choose Freely,Space,Peace,Serenity,Do things at my own pace and in my own way,Calm,Empowerment,Consistency,Mutuality,Security",unmet,"Heart pounding against the ribs; Breath quick and shallow high in the chest; Muscles tensing, ready to hide or flee",,,,,,,,,,,
feeling,Lonely,"Your body may ache for touch or warmth, your chest feel hollow, and your mind turn toward memories of connection. This feeling may appear when social bonds feel absent. Research suggests loneliness may have evolved as a signal motivating humans to reconnect with others for mutual survival.",lonely,"Abandoned,(Not) Accepted,Disliked,Ignored,Invisible,Isolated,Left out,Neglected","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Inclusion,Community,Contribution,Peer Respect,To be seen,Acknowledgement,Appreciation,Understanding,Friendship,Participation,To be heard,Mattering,Security",unmet,Hollow feeling in the chest or stomach; Arms instinctively wrapping around the body; Eyes searching for connection or softening with tears,,,,,,,,,,,
feeling,Angry,"Heat might rise in your chest or face, your jaw may tighten, and you may feel energy building to act. Anger often appears when you perceive an obstacle to something deeply important or when a boundary feels crossed. Biologists often view anger as an evolved signal to mobilize energy toward defending fairness or protection.",angry,"Abused,Attacked,Belittled,Betrayed,Blamed,Bullied,Caged/Boxed-in,Cheated,Coerced,Cornered,Criticized,Discounted/Diminished,Dumped on,Harassed,Hassled,Insulted,Interrupted,Invalidated,Invisible,Manipulated,Mistrusted,Misunderstood,Overpowered,Overworked,Patronized,Provoked,Put down,Rejected,Ripped off / Screwed,Taken for granted,Trampled,Tricked,Unappreciated,Used,Violated,Wronged","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Need for all living things to flourish,Inclusion,Community,Safety,Respect,Autonomy,To be seen,Acknowledgement,Appreciation,Trust,Dependability,Honesty,Honor,Commitment,Clarity,Accountability,Causality,Fairness,Justice,Choice,Freedom,Reliability,Act Freely,Choose Freely,Understanding,Recognition,Non-judgmental Communication,Need to matter,Space,Peace,Serenity,Do things at my own pace and in my own way,Calm,To be heard,Equality,Empowerment,Genuineness,Rest,Mutuality,Closeness,Integrity,Privacy",unmet,Heat rising through the face or neck; Jaw clenching and fists tightening; Breath getting faster and more forceful,,,,,,,,,,,
feeling,Frustrated,"Your jaw may tighten, brows knit, and energy surge as effort meets resistance. Frustration often arrives when repeated attempts don't land the outcome you imagined. Researchers often view it as a signal to pause, adjust strategy, or seek collaboration before energy is depleted.",frustrated,"Abused,Belittled,Coerced,Criticized,Discounted/Diminished,Distrusted,Harassed,Interrupted,Manipulated,Misunderstood,Overworked,Patronized,Provoked,Smothered/Suffocated,Trampled,Unappreciated,Unheard,Unloved,Unseen,Unwanted","Love/Caring,Nurturing,Connection,Belonging,Support,Consideration,Need for all living things to flourish,Inclusion,Community,Respect,Autonomy,To be seen,Acknowledgement,Appreciation,Trust,Honesty,Clarity,Accountability,Choice,Freedom,Act Freely,Choose Freely,Understanding,Recognition,Non-judgmental Communication,Need to matter,Space,Peace,To be heard,Equality,Empowerment,Genuineness,Rest,Mutuality,Authenticity,Self expression,Empathy,Accomplishment,Growth",unmet,Jaw or temples tightening with pressure; Hands fidgeting or gripping objects harder; Chest constricting with repeated sighs,,,,,,,,,,,
feeling,Scared,"Your breath may quicken, your muscles tense, and you may instinctively seek closeness or escape. This feeling may arise when danger feels near. It is part of a deeply conserved biological system designed to protect from harm.",scared,"Attacked,(Not) Accepted,Blamed,Bullied,Caged/Boxed-in,Coerced,Cornered,Criticized,Ignored,Intimidated,Invisible,Isolated,Manipulated,Neglected,Rejected,Threatened","Love/Caring,Connection,Belonging,Consideration,Inclusion,Community,Safety,Contribution,Peer Respect,Autonomy,To be seen,Acknowledgement,Trust,Accountability,Causality,Fairness,Justice,Choice,Freedom,Act Freely,Choose Freely,Understanding,Recognition,Non-judgmental Communication,Participation,To be heard,Equality,Empowerment,Genuineness,Mattering,Closeness,Security",unmet,Skin feeling prickly or chilled; Muscles tightening around the shoulders; Eyes widening while scanning surroundings,,,,,,,,,,,
feeling,Upset,"You might feel an unsettled stomach, tight chest, or sudden tears. This feeling may emerge when emotions conflict or expectations clash with reality. It reflects the body’s signal that care and recalibration are needed.",upset,"(Not) Accepted,Misunderstood","Connection,Belonging,Inclusion,Community,Contribution,Peer Respect,Clarity,Understanding,To be heard",unmet,Restless energy pacing through limbs; Tense stomach that flips or churns; Voice catching or rising unexpectedly,,,,,,,,,,,
