regionId,regionLabel,prompt,optionId,optionTitle,optionNote,optionInsight,feelingKey,weight
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,anxiety,1.4
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,fear,1.1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,anger,0.9
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-tight,Tight or constricted,"Band squeezing, armor, or breath held high",Tightness across the chest can accompany your system bracing for threat or overwhelm.,overwhelm,1.1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",sadness,1.1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",grief,1.2
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",stress,1
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pressure,Weighted or pressured,"Heavy stone, shoulders collapsing inward","Weight or pressure here can reflect grief, sadness, or responsibility carried for others.",guilt,0.9
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",anxiety,1.2
chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-pounding,Pounding or racing heartbeat,"Heart racing, flutter, sudden surges of beats","A pounding heart can point to activation—anxiety, fear, anger, or eager anticipation.",fear,1.1
