cue,patterns (|),feelings (|),needs (|),example
inefficacy-generalization-i-do-work,"nothing i do .* work|nothing i do .* ever .* work|nothing .* work ever|nothing i do.*, it (?:doesn'?t|won't) (?:work)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* work|never i do .* at all .* work|never .* work at all|never i do.*, it (?:doesn'?t|won't) (?:work)|no matter what i do .* work|no matter what i do.*, it (?:doesn'?t|won't) (?:work)|whatever i do .* work|whatever i do.*, it (?:doesn'?t|won't) (?:work)",helpless|powerless|thwarted|frustrated,accomplishment|competence|contribution|growth,"I do and it didn't work, even after multiple attempts."
inefficacy-generalization-i-do-help,"nothing i do .* help|nothing i do .* ever .* help|nothing .* help ever|nothing i do.*, it (?:doesn'?t|won't) (?:help)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* help|never i do .* at all .* help|never .* help at all|never i do.*, it (?:doesn'?t|won't) (?:help)|no matter what i do .* help|no matter what i do.*, it (?:doesn'?t|won't) (?:help)|whatever i do .* help|whatever i do.*, it (?:doesn'?t|won't) (?:help)",helpless|powerless|thwarted|frustrated,support|clarity|learning|to-be-heard,"I do and it didn't help, even after multiple attempts."
inefficacy-generalization-i-do-change,"nothing i do .* change|nothing i do .* ever .* change|nothing .* change ever|nothing i do.*, it (?:doesn'?t|won't) (?:change)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* change|never i do .* at all .* change|never .* change at all|never i do.*, it (?:doesn'?t|won't) (?:change)|no matter what i do .* change|no matter what i do.*, it (?:doesn'?t|won't) (?:change)|whatever i do .* change|whatever i do.*, it (?:doesn'?t|won't) (?:change)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I do and it didn't change, even after multiple attempts."
inefficacy-generalization-i-do-matter,"nothing i do .* matter|nothing i do .* ever .* matter|nothing .* matter ever|nothing i do.*, it (?:doesn'?t|won't) (?:matter)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* matter|never i do .* at all .* matter|never .* matter at all|never i do.*, it (?:doesn'?t|won't) (?:matter)|no matter what i do .* matter|no matter what i do.*, it (?:doesn'?t|won't) (?:matter)|whatever i do .* matter|whatever i do.*, it (?:doesn'?t|won't) (?:matter)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I do and it didn't matter, even after multiple attempts."
inefficacy-generalization-i-do-improve,"nothing i do .* improve|nothing i do .* ever .* improve|nothing .* improve ever|nothing i do.*, it (?:doesn'?t|won't) (?:improve)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* improve|never i do .* at all .* improve|never .* improve at all|never i do.*, it (?:doesn'?t|won't) (?:improve)|no matter what i do .* improve|no matter what i do.*, it (?:doesn'?t|won't) (?:improve)|whatever i do .* improve|whatever i do.*, it (?:doesn'?t|won't) (?:improve)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I do and it didn't improve, even after multiple attempts."
inefficacy-generalization-i-do-get better,"nothing i do .* get better|nothing i do .* ever .* get better|nothing .* get better ever|nothing i do.*, it (?:doesn'?t|won't) (?:get|better)|whatever i do.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i do .* get better|never i do .* at all .* get better|never .* get better at all|never i do.*, it (?:doesn'?t|won't) (?:get|better)|no matter what i do .* get better|no matter what i do.*, it (?:doesn'?t|won't) (?:get|better)|whatever i do .* get better|whatever i do.*, it (?:doesn'?t|won't) (?:get|better)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I do and it didn't get better, even after multiple attempts."
inefficacy-generalization-i-did-work,"nothing i did .* work|nothing i did .* ever .* work|nothing .* work ever|nothing i did.*, it (?:doesn'?t|won't) (?:work)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* work|never i did .* at all .* work|never .* work at all|never i did.*, it (?:doesn'?t|won't) (?:work)|no matter what i did .* work|no matter what i did.*, it (?:doesn'?t|won't) (?:work)|whatever i did .* work|whatever i did.*, it (?:doesn'?t|won't) (?:work)",helpless|powerless|thwarted|frustrated,accomplishment|competence|contribution|growth,"I did and it didn't work, even after multiple attempts."
inefficacy-generalization-i-did-help,"nothing i did .* help|nothing i did .* ever .* help|nothing .* help ever|nothing i did.*, it (?:doesn'?t|won't) (?:help)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* help|never i did .* at all .* help|never .* help at all|never i did.*, it (?:doesn'?t|won't) (?:help)|no matter what i did .* help|no matter what i did.*, it (?:doesn'?t|won't) (?:help)|whatever i did .* help|whatever i did.*, it (?:doesn'?t|won't) (?:help)",helpless|powerless|thwarted|frustrated,support|clarity|learning|to-be-heard,"I did and it didn't help, even after multiple attempts."
inefficacy-generalization-i-did-change,"nothing i did .* change|nothing i did .* ever .* change|nothing .* change ever|nothing i did.*, it (?:doesn'?t|won't) (?:change)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* change|never i did .* at all .* change|never .* change at all|never i did.*, it (?:doesn'?t|won't) (?:change)|no matter what i did .* change|no matter what i did.*, it (?:doesn'?t|won't) (?:change)|whatever i did .* change|whatever i did.*, it (?:doesn'?t|won't) (?:change)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I did and it didn't change, even after multiple attempts."
inefficacy-generalization-i-did-matter,"nothing i did .* matter|nothing i did .* ever .* matter|nothing .* matter ever|nothing i did.*, it (?:doesn'?t|won't) (?:matter)|whatever i did.*, it (?:doesn'?t|won't) (?:work|help|change|matter|improve|get better)|i can'?t (?:do anything right|make it work|make a difference|get through|win)|why do i even bother|it was (?:pointless|futile|useless|a waste|for nothing|in vain|went nowhere|made it worse|got me nowhere|all for nothing)|tried .* times and (?:nothing|never) (?:worked|helped|changed|improved|mattered)|no matter what i (?:say|do|try).* (?:fails|backfires|gets ignored|goes nowhere)|never i did .* matter|never i did .* at all .* matter|never .* matter at all|never i did.*, it (?:doesn'?t|won't) (?:matter)|no matter what i did .* matter|no matter what i did.*, it (?:doesn'?t|won't) (?:matter)|whatever i did .* matter|whatever i did.*, it (?:doesn'?t|won't) (?:matter)",desperate|distressed|tired|hopeless,accomplishment|competence|contribution|growth,"I did and it didn't matter, even after multiple attempts."
