input,matched_count,matched_cues
"I asked for time off and my boss said no.","1","time-off-request-denied_next"
"We asked to change my schedule and they said no.","2","time-off-request-denied_next|schedule-change-request-denied_next"
"My manager did not approve my vacation request.","1","time-off-request-denied_next"
"My PTO request was not approved.","1","time-off-request-denied_next"
"I asked for a meeting and my landlord said no.","0",""
"They didn't approve my one on one request.","1","meeting-request-denied_next"
"I asked for leave and they said no.","1","time-off-request-denied_next"
"We asked for time off and the supervisor says no.","1","time-off-request-denied_next"
"My supervisor didn't allow any vacation days.","1","time-off-request-denied_next"
"My meeting request was not approved.","0",""
"He read the message but there was no reply.","1","no-reply_next"
"Both texts were seen yet no reply came back.","1","no-reply_next"
"She never responded to my email.","1","no-reply_next"
"No call back after I left a voicemail.","1","no-reply_next"
"They didn't call back after the message.","1","no-reply_next"
"There was no return call from the office.","1","no-reply_next"
"He never replied after reading my note.","1","no-reply_next"
"She didn't respond to the message all week.","1","no-reply_next"
"My boss refused to approve my leave request.","0",""
"They said no when I asked to change my schedule.","0",""
"No response came even after three reminders.","1","no-reply_next"
"The supervisor did not approve my PTO.","1","time-off-request-denied_next"
"I asked for a meeting and they said no.","2","time-off-request-denied_next|meeting-request-denied_next"
"He read it and still no reply after two days.","1","no-reply_next"
"No callback arrived despite the urgent voicemail.","1","no-reply_next"
