cue,patterns (|),feelings (|),needs (|),example
"calendar-event-removed_next","\bcalendar\s+event\s+(?:disappeared|was\s+removed)\b|\bmeeting\b[^.!?]*\bremoved\s+from\s+my\s+calendar\b|\binvite\s+(?:withdrawn|removed)\b|\bcalendar\b[^.!?]*\bdisappeared\b","confused|anxious|bewildered|upset","predictability|clarity|consideration|respect","The planning session disappeared from my calendar without any message."
"camera-off-midcall_next","\bcamera\s+turned\s+off\b|\bcamera\s+went\s+off\b|\bblank\s+screen\b[^.!?]*\bwhile\s+I\s+(?:spoke|was\s+speaking|shared)\b|\bvideo\s+off\b[^.!?]*\bwhile\s+I\s+(?:spoke|was\s+speaking|shared)\b","lonely|anxious|confused|hurt","connection|to-be-seen|consideration|belonging","While I spoke, their camera switched off and stayed blank."
"arrived-late_next","\barrived\s+late\b|\bshowed\s+up\s+late\b|\bcame\s+late\b|\barrived\b[^.!?]*\bminutes?\s+late\b|\barrived\b[^.!?]*\bafter\s+(?:it|the\s+(?:call|meeting|event))\s+started\b|\bwas\s+late\b[^.!?]*\bto\s+(?:the\s+)?(?:call|meeting|event)\b|\bpast\s+the\s+agreed\s+time\b","disappointed|irritated|anxious|hurt","reliability|consideration|respect|predictability","We agreed on 2:00; they arrived late without a message."
"meeting-started-early_next","\b(?:the\s+)?(?:call|meeting)\s+started\s+early\b|\b(?:the\s+)?(?:call|meeting)\s+began\s+early\b|\b(?:the\s+)?(?:call|meeting)\s+started\s+before\s+(?:the\s+)?scheduled\s+time\b|\b(?:the\s+)?(?:call|meeting)\s+began\s+before\s+(?:the\s+)?scheduled\s+time\b|\b(?:the\s+)?(?:call|meeting)\s+had\s+already\s+started\b[^.!?]*\bwhen\s+I\s+joined\b|\bstarted\s+before\s+I\s+joined\b|\bwhen\s+I\s+joined\b[^.!?]*\b(?:the\s+)?(?:call|meeting)\s+had\s+already\s+started\b|\bby\s+the\s+time\s+I\s+joined\b[^.!?]*\b(?:the\s+)?(?:call|meeting)\s+had\s+already\s+started\b","anxious|frustrated|tense|lonely","consideration|inclusion|predictability|respect","When I joined at the scheduled time, the meeting had already started."
"muted-by-host_next","\byou\s+have\s+been\s+muted\s+by\s+the\s+host\b|\bhost\s+muted\s+me\b|\bmuted\b[^.!?]*\bby\s+the\s+host\b|\bmicrophone\b[^.!?]*\bmuted\b[^.!?]*\bby\s+(?:someone\s+else|another\s+person)\b","embarrassed|confused|tense|powerless","to-be-heard|respect|consideration|autonomy","While I was speaking, a notification said 'You have been muted by the host.'"
"no-reply_next","\b(?:no\s+(?:reply|response)|didn[’']?t\s+(?:reply|respond)|never\s+(?:replied|responded))\b|\b(?:read|seen)\b[^.!?]*\bno\s+reply\b|\b(?:no\s+call\s+back|no\s+callback|didn[’']?t\s+call\s+back|no\s+return\s+call)\b","lonely|hurt|anxious","to-be-seen|connection|consideration","Two messages were read and there was no reply for two days."
"meeting-recorded-without-consent_next","\brecording\s+started\b|\b(?:red\s+)?recording\s+dot\s+appeared\b|\b(?:recording\s+has\s+started|recording\s+began)\b|\bstarted\s+recording\b[^.!?]*\bwithout\s+(?:asking|consent|notice)\b","alarmed|anxious|tense|distressed","privacy|respect|trust|predictability","The video call displayed 'Recording has started' without anyone asking first."
"reply-all-exposed_next","\breply\s+all\b[^.!?]*\bshared\s+my\b|\bused\s+reply\s+all\b[^.!?]*\binstead\s+of\s+direct\b|\bcc[’']?d\b[^.!?]*\bthe\s+whole\s+group\b|\breplied\s+all\b[^.!?]*\bwith\s+my\s+note\b","anxious|embarrassed|irritated|upset","privacy|consideration|respect|clarity","They used reply all and shared my note with the whole list."
"time-off-request-denied_next","\b(?:i|we)\s+asked\s+(?:for\s+(?:(?:time off|pto|vacation|leave))|to\s+take\s+(?:(?:time off|pto|vacation|leave)))\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b|\b(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor))\s+(?:did\s+not|didn[’']?t)\s+(?:approve|allow)\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b|\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b|\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:told|tells)\s+me\s+no\b[^.!?]*\b(?:(?:time off|pto|vacation|leave))\b|\b(?:(?:time off|pto|vacation|leave))\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:told|tells)\s+me\s+no\b|\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\s+(?:my\s+)?(?:(?:time off|pto|vacation|leave))\s+request\b|\bmy\s+(?:(?:time off|pto|vacation|leave))\s+request\s+was\s+(?:not\s+approved|denied|rejected)\b|\bmy\s+(?:(?:time off|pto|vacation|leave))\s+request\s+wasn[’']?t\s+approved\b","disappointed|frustrated|anxious|tense","consideration|predictability|respect|support","I asked for time off and my manager said no."
"schedule-change-request-denied_next","\b(?:i|we)\s+asked\s+to\s+change\s+my\s+schedule\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b|\b(?:i|we)\s+asked\s+for\s+a\s+schedule\s+change\b[^.!?]*\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no(?:\s+to)?\b|\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:said|says)\s+no\b[^.!?]*\b(?:when\s+)?(?:i|we)\s+asked\s+(?:to\s+change\s+my\s+schedule|for\s+a\s+schedule\s+change)\b|\b(?:they|(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor)))\s+(?:denied|rejected|declined|refused)\s+(?:my\s+)?schedule\s+change\s+request\b|\b(?:my\s+|the\s+)?(?:(?:boss|manager|supervisor))\s+(?:did\s+not|didn[’']?t)\s+approve\s+(?:my\s+schedule\s+change\s+request|a\s+schedule\s+change)\b|\bmy\s+schedule\s+change\s+request\s+was\s+(?:not\s+approved|denied|rejected)\b|\bmy\s+schedule\s+change\s+request\s+wasn[’']?t\s+approved\b","disappointed|frustrated|anxious|tense","consideration|predictability|respect|support","I asked to change my schedule and my boss said no."
